method,mean_err_l2,cov_err_fro,corr_err_fro,W1_mean,W1_max,KS_mean,KS_max,W1_dim0,KS_dim0,W1_dim1,KS_dim1
DDC,0.06948507491974779,0.14438037294759215,0.006013966507634854,0.06184777676370308,0.09443040069449898,0.07459588666931474,0.08110884665717732,0.09443040069449898,0.08110884665717732,0.029265152832907183,0.06808292668145216
Random,0.0996692305597305,0.10922456506662453,0.06855685170205818,0.08701552492616765,0.10161174184015852,0.11660587564448693,0.13152673567880357,0.10161174184015852,0.10168501561017029,0.07241930801217679,0.13152673567880357
K-medoids,0.10317603966110579,0.07705355795259972,0.0035522047847589434,0.09083529517573097,0.11231758894789748,0.09216790611753081,0.11155881792606914,0.06935300140356444,0.07277699430899248,0.11231758894789748,0.11155881792606914
