method,mean_err_l2,cov_err_fro,corr_err_fro,W1_mean,W1_max,KS_mean,KS_max,W1_dim0,KS_dim0,W1_dim1,KS_dim1
DDC,0.25290930254860794,1.779877464563635,0.048891128777957565,0.27066310072814237,0.2771655265878935,0.07048928667995444,0.0756175451869655,0.26416067486839123,0.0756175451869655,0.2771655265878935,0.06536102817294337
Random,0.7974354150606892,2.4862903497754285,0.0795285174956298,0.5147255163747105,0.8061153128904239,0.09786259169298142,0.1376123017565936,0.8061153128904239,0.1376123017565936,0.2233357198589971,0.05811288162936923
