dataset,n_samples,n_features,k_reps,random_mean_err,random_cov_err,random_corr_err,random_mmd,random_W1_mean,random_W1_max,random_KS_mean,random_KS_max,ddc_mean_err,ddc_cov_err,ddc_corr_err,ddc_mmd,ddc_W1_mean,ddc_W1_max,ddc_KS_mean,ddc_KS_max,random_joint_score,ddc_joint_score,random_marginal_score,ddc_marginal_score,winner_joint,winner_marginal
Gaussian (isotropic),20000,10,1000,0.10799562073181966,0.3843813028904039,0.33628034146554786,0.05681501867768592,0.05887425961797051,0.08907321905577337,0.026715000000000023,0.03780000000000011,0.038474249661925204,0.29649879485563296,0.16011268415519597,0.05125006730672293,0.04197869980918291,0.06247604863731401,0.02377094754474555,0.028780395359290167,0.5525214736231778,0.37655513693323095,0.08558925961797054,0.06574964735392846,DDC,DDC
Gaussian Mixture (4),20000,10,1000,0.06515875409129399,0.2303485501224029,0.1524925867210233,0.04271473744223468,0.024492044628878194,0.042475832279633974,0.023395000000000048,0.03479999999999983,0.010273771907541559,0.06281856787944705,0.037884982949392666,0.02918848306575204,0.025661990545750867,0.046182014747146095,0.01636674407323401,0.0326161218630876,0.30659484348291455,0.08176105935414338,0.047887044628878245,0.042028734618984875,DDC,DDC
Anisotropic Gaussian,20000,10,1000,0.052941591665526984,0.2982616503127087,0.26287644605609006,0.05768819495715072,0.04159644472121711,0.07363817239075747,0.021135000000000084,0.02715000000000009,0.03673268590746714,0.43173818538684494,0.13394665389217314,0.04480573509438765,0.03767643993567942,0.05820699450614096,0.022618514514712782,0.029257472557564057,0.4296998733407537,0.49871151233293154,0.0627314447212172,0.06029495445039221,Random,DDC
High-dim Sparse,20000,20,1000,0.15375811938819406,0.6481020294502622,0.6091988763870304,0.05474507191793572,0.04815850875173719,0.10335573757807172,0.026900000000000028,0.049349999999999894,0.21545966053596968,2.3214629751823286,0.6747088444309371,0.13740972856483263,0.21452043734413034,0.2530182984312133,0.08960708373459736,0.10454352719326365,0.9527014676437774,2.6588173973977973,0.07505850875173722,0.3041275210787277,Random,Random
Adult Census,48842,6,1000,0.04569062281466323,0.29927919382744383,0.1618897343793105,0.04404883088413946,0.043372760824048055,0.0662560717842031,0.012520610676603603,0.023233692313991916,0.3644347720497796,1.399970498870814,0.13986455897547914,0.12357326743685092,0.18271574684972716,0.2326144961154531,0.06774086010148313,0.09112580205588117,0.3802240610170991,1.4699027783585534,0.055893371500651656,0.2504566069512103,Random,Random
Large Gaussian Mixture,100000,10,1000,0.07626077692955041,0.10875502623354277,0.052390309086974944,0.04240626886353174,0.0364248278515061,0.067218909458043,0.02348099999999998,0.0313500000000001,0.030569460290000183,0.11747872792070672,0.07491301484294013,0.05711012414304785,0.02801905400055819,0.06185443366871746,0.02182470739607311,0.03422218521390602,0.13495018077703025,0.1549352353421768,0.05990582785150608,0.0498437613966313,Random,DDC
