dataset,n_samples,n_features,n_classes,k,random_cov_err,ddc_cov_err,ddc_improvement_cov
iris,150,4,3,75,0.3222423130763488,0.4457673152602486,-27.710645880751304
wine,178,13,3,89,0.8853543960308065,0.9920719817880425,-10.757040589423317
