method,mean_err_l2,cov_err_fro,corr_err_fro,mmd,W1_mean,W1_max,KS_mean,KS_max,W1_dims,KS_dims
Random,0.68270274366131,2.579553324581272,2.39460355568107,0.27318197769479147,0.24600010370532527,0.5484474044150649,0.183705,0.28625,"[np.float64(0.17654698892438392), np.float64(0.14708663310252146), np.float64(0.1914271311308903), np.float64(0.2000990589389235), np.float64(0.22588845986839773), np.float64(0.14234394898317057), np.float64(0.26053089371590843), np.float64(0.2564131849625436), np.float64(0.3112173330114482), np.float64(0.5484474044150649)]","[0.14715, 0.15815, 0.18135, 0.18385, 0.15559999999999996, 0.14939999999999998, 0.1611, 0.17254999999999998, 0.24165000000000003, 0.28625]"
DDC,0.5499756630739489,1.1649614881415462,0.807191625139223,0.16290190989803868,0.2012955238818348,0.28173498568755945,0.1803131617232659,0.25082864620157547,"[np.float64(0.28091022177190994), np.float64(0.2693903850413884), np.float64(0.1378721074909108), np.float64(0.13543436638473216), np.float64(0.28173498568755945), np.float64(0.2018179017315918), np.float64(0.2000194557627594), np.float64(0.12266424943419889), np.float64(0.25877284015451835), np.float64(0.12433872535877885)]","[0.20001442149653365, 0.25082864620157547, 0.13492103196232558, 0.20031152358607585, 0.16376442149653364, 0.21136678127961617, 0.14077103196232565, 0.13453043964716793, 0.2174443254159224, 0.14917899418458247]"
