k,random_cov_err,ddc_cov_err,random_W1_mean,ddc_W1_mean,ddc_improvement_cov,ddc_improvement_W1
50,0.27015839276115083,0.07012407588326322,0.09011125320057567,0.08367773695918365,285.2576869759942,7.688444352325341
100,0.18662844400493772,0.08216178627823421,0.13560597180753226,0.0433361747423851,127.14750063117623,212.91633978691328
200,0.08558601490604416,0.12726646595048954,0.042798824288489884,0.04380248148688885,-32.750537019437886,-2.2913249759591525
