method,mean_err_l2,cov_err_fro,corr_err_fro,mmd,W1_mean,W1_max,KS_mean,KS_max,W1_dims,KS_dims
Random,0.20133439867904868,0.8853543960308065,0.7145479890375049,0.09902924180391653,0.09987054615373106,0.1500425994600756,0.06439066551426106,0.07865168539325829,"[np.float64(0.0965532507260881), np.float64(0.1500425994600756), np.float64(0.10843934347298319), np.float64(0.13042578355087503), np.float64(0.07772616807532112), np.float64(0.13536496919923924), np.float64(0.08224495389389248), np.float64(0.10152835640105692), np.float64(0.10268614670307837), np.float64(0.08430788786246603), np.float64(0.0930536992246507), np.float64(0.06315596804545925), np.float64(0.07278797338331794)]","[0.06741573033707865, 0.061797752808988915, 0.05617977528089879, 0.06741573033707882, 0.05056179775280911, 0.061797752808988915, 0.07303370786516855, 0.0674157303370787, 0.07865168539325829, 0.06741573033707882, 0.0561797752808989, 0.07303370786516855, 0.05617977528089868]"
DDC,0.20652372403096647,0.9920719817880425,0.6690550143370425,0.10615864500448886,0.0827723432315514,0.14592921195576805,0.05217220188659902,0.07058679963698733,"[np.float64(0.04557633614950293), np.float64(0.05907162095908854), np.float64(0.09375949437342475), np.float64(0.11735137498660488), np.float64(0.101879557251392), np.float64(0.05901387092338992), np.float64(0.07595610634517004), np.float64(0.0795627770717489), np.float64(0.07376274188164757), np.float64(0.14592921195576805), np.float64(0.08485113076176562), np.float64(0.0840911954545436), np.float64(0.05523504389612152)]","[0.03106903660779181, 0.07058679963698733, 0.05403647140646417, 0.05149630930018401, 0.04081898001857831, 0.042542523528210086, 0.05853921972728604, 0.04607558170337567, 0.037441526826342, 0.06376918119040603, 0.05014093633842792, 0.06847766547660969, 0.06324439276512406]"
