k,random_empty_clusters,ddc_empty_clusters,random_cov_err,ddc_cov_err,ddc_improvement_cov
50,0,0,1.0020511155033942,0.5664309903471162,76.90612494371545
100,0,0,0.5227827914933892,0.20901387550134815,150.11870156439318
200,0,0,0.4083154314685036,0.13966963154505474,192.34374498710469
