n_clusters,random_cov_err,ddc_cov_err,random_W1_mean,ddc_W1_mean,ddc_improvement_cov,ddc_improvement_W1
2,0.20674423549542667,0.15313899479115037,0.04670695255797902,0.030669132789262206,35.00430493055193,52.29303312525333
4,0.2303485501224029,0.06281856787944705,0.024492044628878194,0.025661990545750867,266.688636653508,-4.559061444539402
8,0.3299765526378179,0.11964710348008442,0.03583219911623438,0.03248571376382216,175.79150939725287,10.301406263509726
16,0.2828596557739179,0.21065844235743517,0.028977513583772003,0.033950133115091014,34.27406592799884,-14.646833679449268
