method,mean_err_l2,cov_err_fro,corr_err_fro,mmd,W1_mean,W1_max,KS_mean,KS_max,W1_dims,KS_dims
Random,0.0841843447556041,0.4083154314685036,0.27813092945725487,0.04728650449753317,0.03961610930505005,0.07550099544944594,0.04404500000000002,0.060900000000000065,"[np.float64(0.03272124516851033), np.float64(0.01976774945972706), np.float64(0.027284371881220282), np.float64(0.04619326066127032), np.float64(0.02614143777294583), np.float64(0.03868896932685418), np.float64(0.054161360705167694), np.float64(0.032222354150027326), np.float64(0.07550099544944594), np.float64(0.04347934847533156)]","[0.03464999999999996, 0.060900000000000065, 0.03865000000000007, 0.044950000000000045, 0.02970000000000006, 0.04425000000000001, 0.03660000000000002, 0.054900000000000004, 0.056050000000000044, 0.03979999999999995]"
DDC,0.09257999272525043,0.13966963154505474,0.13933865624882968,0.03279450592385626,0.04437523258956853,0.05792447196136694,0.05161589016920067,0.08484246781941468,"[np.float64(0.037853355158367435), np.float64(0.04496600888109709), np.float64(0.031142417624096117), np.float64(0.0357977459613542), np.float64(0.05335909324122334), np.float64(0.041557181497530384), np.float64(0.052856375925486955), np.float64(0.055124943900963876), np.float64(0.05792447196136694), np.float64(0.03317073174419896)]","[0.06406446884022932, 0.08484246781941468, 0.03765949225868076, 0.04556248272589042, 0.05522431308845521, 0.07298785960404719, 0.03671531514935933, 0.04675840970000689, 0.044563187925216186, 0.02778090458070681]"
