method,mean_err_l2,cov_err_fro,corr_err_fro,mmd,W1_mean,W1_max,KS_mean,KS_max,W1_dims,KS_dims
Random,0.13931435569307896,0.18662844400493772,0.0022136871893402663,0.095349871666204,0.13560597180753226,0.18969157041564844,0.08880000000000005,0.10200000000000009,"[np.float64(0.18969157041564844), np.float64(0.0815203731994161)]","[0.10200000000000009, 0.07559999999999999]"
DDC,0.054548397530506214,0.08216178627823421,0.07263999480728897,0.03860073044833319,0.0433361747423851,0.046531429226214165,0.04335082989606856,0.04546477559518253,"[np.float64(0.046531429226214165), np.float64(0.040140920258556034)]","[0.04546477559518253, 0.04123688419695459]"
